iteration,food_quantity,first_food_arrived,t_ants_s,t_evaporation_s,t_update_s,t_render_s,t_total_s
1,0,0,0.004191,0.000186,3e-06,0.007312,0.011692
2,0,0,0.002889,0.000185,3e-06,0.00248,0.005557
3,0,0,0.002917,0.0002,1e-06,0.031049,0.034167
4,0,0,0.002623,0.000168,1e-06,0.029847,0.032639
5,0,0,0.002742,0.000187,1e-06,0.02538,0.02831
6,0,0,0.002771,0.00016,1e-06,0.030378,0.03331
7,0,0,0.003163,0.000205,1e-06,0.029407,0.032776
8,0,0,0.003514,0.000209,0,0.029723,0.033446
9,0,0,0.003728,0.000218,1e-06,0.038282,0.042229
10,0,0,0.005037,0.000316,2e-06,0.033584,0.038939
11,0,0,0.004778,0.000286,1e-06,0.027988,0.033053
12,0,0,0.004823,0.000288,1e-06,0.029051,0.034163
13,0,0,0.00476,0.000283,2e-06,0.027704,0.032749
14,0,0,0.004486,0.000271,2e-06,0.029197,0.033956
15,0,0,0.00546,0.000338,2e-06,0.027277,0.033077
16,0,0,0.005366,0.00033,2e-06,0.027307,0.033005
17,0,0,0.005539,0.00043,2e-06,0.026866,0.032837
18,0,0,0.006404,0.000554,2e-06,0.026322,0.033282
19,0,0,0.006335,0.000606,3e-06,0.025987,0.032931
20,0,0,0.005651,0.000475,2e-06,0.027349,0.033477
21,0,0,0.006351,0.000408,3e-06,0.026063,0.032825
22,0,0,0.005735,0.000352,2e-06,0.027431,0.03352
23,0,0,0.005338,0.00025,1e-06,0.027395,0.032984
24,0,0,0.003357,0.000211,1e-06,0.029692,0.033261
25,0,0,0.003467,0.000202,1e-06,0.029701,0.033371
26,0,0,0.003638,0.00019,1e-06,0.029184,0.033013
27,0,0,0.003805,0.000231,1e-06,0.027651,0.031688
28,0,0,0.004074,0.000244,2e-06,0.028519,0.032839
29,0,0,0.003581,0.000192,1e-06,0.029494,0.033268
30,0,0,0.003942,0.000232,1e-06,0.026995,0.03117
31,0,0,0.003835,0.000232,1e-06,0.028982,0.03305
32,0,0,0.003735,0.000206,1e-06,0.029032,0.032974
33,0,0,0.00396,0.000207,1e-06,0.028965,0.033133
34,0,0,0.004363,0.000239,1e-06,0.028113,0.032716
35,0,0,0.004734,0.000263,1e-06,0.028304,0.033302
36,0,0,0.005603,0.000336,2e-06,0.027441,0.033382
37,0,0,0.00564,0.000327,1e-06,0.027481,0.033449
38,0,0,0.006096,0.000444,4e-06,0.026708,0.033252
39,0,0,0.005842,0.000429,1e-06,0.027479,0.033751
40,0,0,0.005733,0.000365,1e-06,0.059229,0.065328
41,0,0,0.005047,0.000294,2e-06,0.02832,0.033663
42,0,0,0.00535,0.00036,2e-06,0.026576,0.032288
43,0,0,0.005017,0.000255,1e-06,0.027226,0.032499
44,0,0,0.005688,0.000305,2e-06,0.027118,0.033113
45,0,0,0.003853,0.000287,1e-06,0.028526,0.032667
46,0,0,0.003477,0.000214,1e-06,0.026062,0.029754
47,0,0,0.003624,0.000237,1e-06,0.027029,0.030891
48,0,0,0.003632,0.000237,2e-06,0.026339,0.03021
49,0,0,0.004,0.000231,1e-06,0.029034,0.033266
50,0,0,0.004286,0.000243,1e-06,0.028668,0.033198
51,0,0,0.004725,0.000246,2e-06,0.02843,0.033403
52,0,0,0.005237,0.00025,2e-06,0.027788,0.033277
53,0,0,0.005384,0.00029,2e-06,0.027534,0.03321
54,0,0,0.006298,0.000343,2e-06,0.026565,0.033208
55,0,0,0.006006,0.000338,2e-06,0.026995,0.033341
56,0,0,0.00604,0.000322,2e-06,0.026877,0.033241
57,0,0,0.00591,0.000323,1e-06,0.027025,0.033259
58,0,0,0.005874,0.000293,1e-06,0.027134,0.033302
59,0,0,0.005695,0.000281,2e-06,0.02734,0.033318
60,0,0,0.005842,0.000265,1e-06,0.02725,0.033358
61,0,0,0.005897,0.000301,2e-06,0.027094,0.033294
62,0,0,0.005974,0.000302,1e-06,0.02701,0.033287
63,0,0,0.005878,0.000302,2e-06,0.026985,0.033167
64,0,0,0.005939,0.000293,2e-06,0.027085,0.033319
65,0,0,0.005889,0.000267,1e-06,0.027109,0.033266
66,0,0,0.005974,0.000292,2e-06,0.027168,0.033436
67,0,0,0.005885,0.000278,2e-06,0.027264,0.033429
68,0,0,0.005718,0.000288,2e-06,0.027511,0.033519
69,0,0,0.006306,0.000367,2e-06,0.026303,0.032978
70,0,0,0.006295,0.000326,2e-06,0.026561,0.033184
71,0,0,0.005741,0.000338,2e-06,0.027127,0.033208
72,0,0,0.006244,0.000285,2e-06,0.026687,0.033218
73,0,0,0.005788,0.000303,1e-06,0.027211,0.033303
74,0,0,0.005935,0.00028,1e-06,0.027089,0.033305
75,0,0,0.00591,0.000302,1e-06,0.027207,0.03342
76,0,0,0.006112,0.000303,1e-06,0.026864,0.03328
77,0,0,0.005826,0.000278,2e-06,0.027597,0.033703
78,0,0,0.005678,0.000267,2e-06,0.027031,0.032978
79,0,0,0.005844,0.000319,2e-06,0.027325,0.03349
80,0,0,0.006381,0.00031,2e-06,0.02728,0.033973
81,0,0,0.005784,0.000332,2e-06,0.042957,0.049075
82,0,0,0.008125,0.00031,1e-06,0.024728,0.033164
83,0,0,0.006577,0.000313,1e-06,0.026298,0.033189
84,0,0,0.006384,0.000302,1e-06,0.026612,0.033299
85,0,0,0.006136,0.000324,2e-06,0.02677,0.033232
86,0,0,0.006123,0.000293,2e-06,0.026912,0.03333
87,0,0,0.005724,0.000287,2e-06,0.027586,0.033599
88,0,0,0.005907,0.000262,2e-06,0.02682,0.032991
89,0,0,0.005754,0.000276,2e-06,0.027348,0.03338
90,0,0,0.005806,0.000261,1e-06,0.027466,0.033534
91,0,0,0.005797,0.000265,2e-06,0.027011,0.033075
92,0,0,0.005769,0.000258,1e-06,0.027207,0.033235
93,0,0,0.005698,0.000263,2e-06,0.02737,0.033333
94,0,0,0.005905,0.000256,1e-06,0.027087,0.033249
95,0,0,0.005769,0.000256,1e-06,0.02723,0.033256
96,0,0,0.0059,0.000259,1e-06,0.027119,0.033279
97,0,0,0.005932,0.000256,1e-06,0.027125,0.033314
98,0,0,0.005894,0.000262,2e-06,0.027322,0.03348
99,0,0,0.005926,0.000286,1e-06,0.027348,0.033561
100,0,0,0.006604,0.000416,2e-06,0.026014,0.033036
101,0,0,0.006283,0.000366,2e-06,0.026737,0.033388
102,0,0,0.006209,0.000339,2e-06,0.026489,0.033039
103,0,0,0.006219,0.000325,2e-06,0.026725,0.033271
104,0,0,0.006006,0.000351,2e-06,0.026915,0.033274
105,0,0,0.006098,0.00029,1e-06,0.026849,0.033238
106,0,0,0.005875,0.000301,1e-06,0.027194,0.033371
107,0,0,0.006169,0.00029,1e-06,0.026773,0.033233
108,0,0,0.005934,0.000326,2e-06,0.027653,0.033915
109,0,0,0.005846,0.000281,2e-06,0.02722,0.033349
110,0,0,0.005817,0.000314,2e-06,0.026983,0.033116
111,0,0,0.005896,0.00027,2e-06,0.027095,0.033263
112,0,0,0.005984,0.000282,2e-06,0.026608,0.032876
113,0,0,0.005966,0.000265,1e-06,0.026981,0.033213
114,0,0,0.005896,0.000267,1e-06,0.02715,0.033314
115,0,0,0.005974,0.000256,2e-06,0.027268,0.0335
116,0,0,0.006025,0.000291,1e-06,0.027024,0.033341
117,0,0,0.005989,0.000279,1e-06,0.026834,0.033103
118,0,0,0.005791,0.000277,1e-06,0.027223,0.033292
119,0,0,0.006081,0.000257,2e-06,0.026888,0.033228
120,0,0,0.005939,0.000264,1e-06,0.027078,0.033282
121,0,0,0.006057,0.000258,1e-06,0.026937,0.033253
122,0,0,0.005933,0.000292,2e-06,0.026993,0.03322
123,0,0,0.005892,0.000258,1e-06,0.027198,0.033349
124,0,0,0.005957,0.00026,1e-06,0.027176,0.033394
