iteration,food_quantity,first_food_arrived,t_ants_s,t_evaporation_s,t_update_s,t_render_s,t_total_s
1,0,0,0.003021823,0.000327715,4.003e-06,0.007307624,0.010661165
2,0,0,0.002236915,0.000398628,3.418e-06,0.001748287,0.004387248
3,0,0,0.002097481,0.00040543,3.195e-06,0.011828901,0.014335007
4,0,0,0.002159987,0.000410008,3.491e-06,0.031454327,0.034027813
5,0,0,0.005772791,0.000714438,7.836e-06,0.026229397,0.032724462
6,0,0,0.005485549,0.000831715,9.504e-06,0.026856606,0.033183374
7,0,0,0.006026757,0.000703311,8.323e-06,0.027090266,0.033828657
8,0,0,0.005789136,0.000713182,8.466e-06,0.026135333,0.032646117
9,0,0,0.005538314,0.000641292,7.963e-06,0.027001765,0.033189334
10,0,0,0.005991221,0.000610323,8.232e-06,0.026428752,0.033038528
11,0,0,0.005557682,0.000615985,6.479e-06,0.029269982,0.035450128
12,0,0,0.005548305,0.000829125,9.434e-06,0.026218467,0.032605331
13,0,0,0.002446926,0.000345057,3.181e-06,0.031103017,0.033898181
14,0,0,0.006767464,0.000723949,8.634e-06,0.025946493,0.03344654
15,0,0,0.006817502,0.000960383,2.0331e-05,0.025632027,0.033430243
16,0,0,0.005791169,0.001008675,2.2219e-05,0.028296066,0.035118129
17,0,0,0.00672792,0.000670183,8.726e-06,0.025087989,0.032494818
18,0,0,0.006609476,0.000628014,7.711e-06,0.025706494,0.032951695
19,0,0,0.005094242,0.000571292,7.002e-06,0.027894063,0.033566599
20,0,0,0.006798494,0.000736243,9.646e-06,0.025913976,0.033458359
21,0,0,0.002237459,0.000304071,3.113e-06,0.030487993,0.033032636
22,0,0,0.005173018,0.00070909,9.354e-06,0.027267894,0.033159356
23,0,0,0.005964845,0.000653923,8.753e-06,0.026778416,0.033405937
24,0,0,0.006187163,0.000755055,9.087e-06,0.026267528,0.033218833
25,0,0,0.006173057,0.000787426,8.925e-06,0.026318877,0.033288285
26,0,0,0.006242697,0.000670547,9.123e-06,0.02639901,0.033321377
27,0,0,0.006267588,0.000597886,7.856e-06,0.026440781,0.033314111
28,0,0,0.004378953,0.000424498,5.128e-06,0.028578472,0.033387051
29,0,0,0.004704413,0.00048986,5.278e-06,0.027086865,0.032286416
30,0,0,0.006119702,0.000712111,8.641e-06,0.026720331,0.033560785
31,0,0,0.006027343,0.000791276,8.212e-06,0.026182084,0.033008915
32,0,0,0.005889479,0.000643232,8.315e-06,0.027080168,0.033621194
33,0,0,0.005660732,0.000653323,8.574e-06,0.026983378,0.033306007
34,0,0,0.00692924,0.000724206,8.384e-06,0.025563931,0.033225761
35,0,0,0.005680399,0.000603496,7.374e-06,0.027811027,0.034102296
36,0,0,0.006056511,0.000801391,8.972e-06,0.026401058,0.033267932
37,0,0,0.006735982,0.000732137,8.552e-06,0.025120412,0.032597083
38,0,0,0.006348641,0.000752052,1.4281e-05,0.026064537,0.033179511
39,0,0,0.006448421,0.000979915,2.3795e-05,0.025972507,0.033424638
40,0,0,0.005935784,0.000934161,2.0102e-05,0.026378558,0.033268605
41,0,0,0.006156037,0.001231178,2.6001e-05,0.025038098,0.032451314
42,0,0,0.006065763,0.001038816,2.0759e-05,0.026175827,0.033301165
43,0,0,0.006052917,0.000873847,1.7616e-05,0.026715493,0.033659873
44,0,0,0.006968069,0.000376944,6.844e-06,0.025821922,0.033173779
45,0,0,0.006735359,0.001055137,2.6406e-05,0.025496929,0.033313831
46,0,0,0.007299228,0.001496762,9.075e-06,0.024247042,0.033052107
