iteration,food_quantity,first_food_arrived,t_ants_s,t_evaporation_s,t_update_s,t_render_s,t_total_s
1,0,0,0.003583946,0.000923259,3.664e-06,0.012229793,0.016740662
2,0,0,0.00378975,0.007021063,7.989e-06,0.003977428,0.01479623
3,0,0,0.005886798,0.005999098,6.215e-06,0.001857199,0.01374931
4,0,0,0.001192812,4.6927e-05,3.999e-06,0.026183953,0.027427691
5,0,0,0.000314029,4.6305e-05,5.287e-06,0.032542262,0.032907883
6,0,0,0.003738626,0.009023277,1.2507e-05,0.020908689,0.033683099
7,0,0,0.000303336,6.4497e-05,4.228e-06,0.032924431,0.033296492
8,0,0,0.005702708,0.005998817,1.5632e-05,0.021231167,0.032948324
9,0,0,0.00570384,0.005995655,1.0985e-05,0.020674235,0.032384715
10,0,0,0.003304996,0.009013855,1.0462e-05,0.020833297,0.03316261
11,0,0,0.000310467,5.058e-05,3.913e-06,0.033698486,0.034063446
12,0,0,0.003039292,0.00603596,1.514e-05,0.024113894,0.033204286
13,0,0,0.002774762,0.006057194,1.5014e-05,0.023873046,0.032720016
14,0,0,0.003022742,0.006014106,4.164e-06,0.024636258,0.03367727
15,0,0,0.003521,0.008841203,2.067e-05,0.020789957,0.03317283
16,0,0,0.001122514,0.006029173,5.787e-06,0.030251468,0.037408942
17,0,0,0.003689696,0.009040541,1.5426e-05,0.016806297,0.02955196
18,0,0,0.002092208,0.006027101,8.429e-06,0.025480093,0.033607831
19,0,0,0.003473822,0.009014225,6.931e-06,0.021215893,0.033710871
20,0,0,0.003734897,0.00585462,4.145e-06,0.02388989,0.033483552
21,0,0,0.003252679,0.009022881,1.2254e-05,0.020683543,0.032971357
22,0,0,0.00324863,0.009017469,5.049e-06,0.021351762,0.03362291
23,0,0,0.003599783,0.009021506,1.1577e-05,0.020294387,0.032927253
24,0,0,0.009641344,0.005999252,3.832e-06,0.017893146,0.033537574
25,0,0,0.003101068,0.006024466,1.4602e-05,0.025067681,0.034207817
26,0,0,0.001874576,3.3878e-05,3.773e-06,0.031819319,0.033731546
27,0,0,0.000492567,6.3836e-05,8.61e-06,0.031758375,0.032323388
28,0,0,0.003781663,0.009028056,9.6e-06,0.021162371,0.03398169
29,0,0,0.003776322,0.001761531,4.859e-06,0.027865509,0.033408221
30,0,0,0.000452658,7.9876e-05,7.176e-06,0.033182811,0.033722521
31,0,0,0.004227732,0.011337389,7.861e-06,0.017575691,0.033148673
32,0,0,0.008532598,0.00678236,6.744e-06,0.01718436,0.032506062
33,0,0,0.005762088,0.00599938,4.276e-06,0.024263485,0.036029229
34,0,0,0.003703195,0.008017504,1.0527e-05,0.020190971,0.031922197
35,0,0,0.003742779,0.009013979,6.693e-06,0.020452004,0.033215455
36,0,0,0.003496825,0.009031884,7.793e-06,0.020226702,0.032763204
37,0,0,0.008928722,0.003797955,5.435e-06,0.020373524,0.033105636
38,0,0,0.000309194,5.4507e-05,4.301e-06,0.034270231,0.034638233
39,0,0,0.003936458,0.009043901,1.5998e-05,0.019954279,0.032950636
40,0,0,0.002956359,0.006033888,1.029e-05,0.024140506,0.033141043
41,0,0,0.003789619,0.009016398,5.043e-06,0.021161343,0.033972403
42,0,0,0.003781888,0.009019054,1.7442e-05,0.019685139,0.032503523
43,0,0,0.000318448,6.4021e-05,4.267e-06,0.032983459,0.033370195
44,0,0,0.003836706,0.009032888,1.4503e-05,0.023109418,0.035993515
45,0,0,0.001128031,0.00466704,1.1834e-05,0.025037198,0.030844103
46,0,0,0.000311086,7.8746e-05,4.388e-06,0.032702724,0.033096944
47,0,0,0.003735105,0.009032718,2.1317e-05,0.021486639,0.034275779
48,0,0,0.002389522,0.006024646,9.601e-06,0.024161725,0.032585494
49,0,0,0.003772654,0.009023591,1.425e-05,0.020254203,0.033064698
50,0,0,0.009647605,0.005997088,6.136e-06,0.016901831,0.03255266
51,0,0,0.0003259,7.9749e-05,4.909e-06,0.033890712,0.03430127
52,0,0,0.000479573,9.554e-05,8.44e-06,0.033408886,0.033992439
53,0,0,0.003666263,0.009034315,1.3052e-05,0.018696039,0.031409669
54,0,0,0.003200653,0.009021663,5.242e-06,0.021642086,0.033869644
55,0,0,0.003298033,0.009017077,1.5302e-05,0.020895341,0.033225753
56,0,0,0.003026067,0.00601929,7.192e-06,0.024965684,0.034018233
57,0,0,0.003035205,0.005970099,1.1544e-05,0.023574341,0.032591189
58,0,0,0.003357101,0.009013799,3.997e-06,0.022100334,0.034475231
59,0,0,0.003851113,0.009023668,9.445e-06,0.020674891,0.033559117
60,0,0,0.003252728,0.009029335,4.859e-06,0.020898524,0.033185446
61,0,0,0.003050739,0.006014465,8.414e-06,0.026359264,0.035432882
62,0,0,0.00355193,0.009014904,6.207e-06,0.017414507,0.029987548
63,0,0,0.003529345,0.009012951,4.777e-06,0.02074203,0.033289103
64,0,0,0.003222723,0.009015731,5.846e-06,0.021170223,0.033414523
65,0,0,0.003785933,0.009016392,5.906e-06,0.020582786,0.033391017
66,0,0,0.004366997,0.004999441,4.285e-06,0.023977241,0.033347964
67,0,0,0.002973666,0.006013717,9.255e-06,0.024762736,0.033759374
68,0,0,0.003184743,0.009023167,1.3627e-05,0.020932122,0.033153659
69,0,0,0.002971133,0.006025104,6.714e-06,0.025388783,0.034391734
70,0,0,0.000566609,5.0143e-05,5.334e-06,0.031207696,0.031829782
71,0,0,0.003707987,0.009031306,6.456e-06,0.021694908,0.034440657
72,0,0,0.003259541,0.009022524,1.0504e-05,0.020772893,0.033065462
73,0,0,0.003168262,0.00901237,5.301e-06,0.020917435,0.033103368
74,0,0,0.003050442,0.00602178,1.3591e-05,0.024756342,0.033842155
75,0,0,0.003176114,0.009016563,4.985e-06,0.021505489,0.033703151
76,0,0,0.000349904,5.6637e-05,5.4e-06,0.033139713,0.033551654
77,0,0,0.003841242,0.00903901,1.5881e-05,0.019817822,0.032713955
