iteration,food_quantity,first_food_arrived,t_ants_s,t_evaporation_s,t_update_s,t_render_s,t_total_s
1,0,0,0.002128,0.000143,0,0,0.002271
2,0,0,0.002119,0.000131,0,0,0.00225
3,0,0,0.002168,0.000109,0,0,0.002277
4,0,0,0.002181,0.000108,1e-06,0,0.00229
5,0,0,0.002189,0.000108,1e-06,0,0.002298
6,0,0,0.002183,0.000112,1e-06,0,0.002296
7,0,0,0.002161,0.00011,0,0,0.002271
8,0,0,0.002154,0.000109,0,0,0.002263
9,0,0,0.002158,0.000108,0,0,0.002266
10,0,0,0.002151,0.000108,1e-06,0,0.00226
11,0,0,0.002173,0.000109,0,0,0.002282
12,0,0,0.002414,0.000105,1e-06,0,0.00252
13,0,0,0.002083,0.00011,0,0,0.002193
14,0,0,0.002133,0.000105,1e-06,0,0.002239
15,0,0,0.002156,0.000111,1e-06,0,0.002268
16,0,0,0.002205,0.000132,1e-06,0,0.002338
17,0,0,0.0023,0.000149,1e-06,0,0.00245
18,0,0,0.002355,0.000135,1e-06,0,0.002491
19,0,0,0.002098,0.000131,1e-06,0,0.00223
20,0,0,0.002133,0.000109,1e-06,0,0.002243
21,0,0,0.002187,0.00011,1e-06,0,0.002298
22,0,0,0.002166,0.000112,0,0,0.002278
23,0,0,0.002161,0.000109,0,0,0.00227
24,0,0,0.002152,0.000106,1e-06,0,0.002259
25,0,0,0.002157,0.000105,1e-06,0,0.002263
26,0,0,0.00208,0.000103,0,0,0.002183
27,0,0,0.002123,0.000107,0,0,0.00223
28,0,0,0.002149,0.000106,0,0,0.002255
29,0,0,0.002152,0.00011,0,0,0.002262
30,0,0,0.00215,0.000107,1e-06,0,0.002258
31,0,0,0.002158,0.000106,1e-06,0,0.002265
32,0,0,0.002145,0.000105,1e-06,0,0.002251
33,0,0,0.002155,0.000104,1e-06,0,0.00226
34,0,0,0.00203,0.000101,1e-06,0,0.002132
35,0,0,0.002079,0.000108,0,0,0.002187
36,0,0,0.002118,0.0001,1e-06,0,0.002219
37,0,0,0.002116,0.000106,0,0,0.002222
38,0,0,0.002138,0.000106,0,0,0.002244
39,0,0,0.002138,0.000106,0,0,0.002244
40,0,0,0.002164,0.000113,1e-06,0,0.002278
41,0,0,0.00208,0.000105,1e-06,0,0.002186
42,0,0,0.002109,0.000107,0,0,0.002216
43,0,0,0.002145,0.000106,0,0,0.002251
44,0,0,0.002188,0.000116,0,0,0.002304
45,0,0,0.002147,0.000105,1e-06,0,0.002253
46,0,0,0.002147,0.000105,1e-06,0,0.002253
47,0,0,0.002134,0.000106,0,0,0.00224
48,0,0,0.002131,0.000105,0,0,0.002236
49,0,0,0.001997,0.000102,1e-06,0,0.0021
50,0,0,0.00209,0.000105,0,0,0.002195
51,0,0,0.002126,0.000105,0,0,0.002231
52,0,0,0.00212,0.000105,1e-06,0,0.002226
53,0,0,0.002134,0.000105,1e-06,0,0.00224
54,0,0,0.002129,0.000106,0,0,0.002235
55,0,0,0.002138,0.000105,1e-06,0,0.002244
56,0,0,0.002143,0.000105,1e-06,0,0.002249
57,0,0,0.002131,0.000106,1e-06,0,0.002238
58,0,0,0.002138,0.000106,1e-06,0,0.002245
59,0,0,0.002143,0.000107,1e-06,0,0.002251
60,0,0,0.002144,0.000106,1e-06,0,0.002251
61,0,0,0.002143,0.000106,1e-06,0,0.00225
62,0,0,0.002157,0.000106,1e-06,0,0.002264
63,0,0,0.002123,9.9e-05,1e-06,0,0.002223
64,0,0,0.002011,0.000101,1e-06,0,0.002113
65,0,0,0.002072,0.000107,0,0,0.002179
66,0,0,0.0021,0.000107,1e-06,0,0.002208
67,0,0,0.002102,0.000107,0,0,0.002209
68,0,0,0.002138,0.000106,1e-06,0,0.002245
69,0,0,0.002129,0.000107,1e-06,0,0.002237
70,0,0,0.002143,0.000109,0,0,0.002252
71,0,0,0.002025,0.000106,0,0,0.002131
72,0,0,0.00208,0.000107,1e-06,0,0.002188
73,0,0,0.002125,0.000107,1e-06,0,0.002233
74,0,0,0.002144,0.000107,1e-06,0,0.002252
75,0,0,0.002141,0.000107,1e-06,0,0.002249
76,0,0,0.002133,0.000107,0,0,0.00224
77,0,0,0.002133,0.000106,1e-06,0,0.00224
78,0,0,0.002147,0.000107,1e-06,0,0.002255
79,0,0,0.002132,0.000108,0,0,0.00224
80,0,0,0.002145,0.000107,0,0,0.002252
81,0,0,0.002133,0.000107,1e-06,0,0.002241
82,0,0,0.002139,0.000106,1e-06,0,0.002246
83,0,0,0.002134,0.000107,1e-06,0,0.002242
84,0,0,0.002144,0.000107,1e-06,0,0.002252
85,0,0,0.002137,0.000107,1e-06,0,0.002245
86,0,0,0.002047,9.8e-05,1e-06,0,0.002146
87,0,0,0.002036,0.000108,0,0,0.002144
88,0,0,0.002078,0.000107,0,0,0.002185
89,0,0,0.002102,0.000104,1e-06,0,0.002207
90,0,0,0.00211,0.000107,0,0,0.002217
91,0,0,0.002116,0.000107,1e-06,0,0.002224
92,0,0,0.002125,0.000107,0,0,0.002232
93,0,0,0.002136,0.000107,0,0,0.002243
94,0,0,0.002132,0.000107,1e-06,0,0.00224
95,0,0,0.002132,0.000108,0,0,0.00224
96,0,0,0.002133,0.000107,0,0,0.00224
97,0,0,0.00214,0.00011,0,0,0.00225
98,0,0,0.002127,0.000107,0,0,0.002234
99,0,0,0.002126,0.000107,1e-06,0,0.002234
100,0,0,0.002126,0.000106,0,0,0.002232
101,0,0,0.002026,0.000109,0,0,0.002135
102,0,0,0.002064,0.000106,0,0,0.00217
103,0,0,0.002113,0.000107,1e-06,0,0.002221
104,0,0,0.002121,0.000106,1e-06,0,0.002228
105,0,0,0.00214,0.000109,1e-06,0,0.00225
106,0,0,0.002131,0.000107,0,0,0.002238
107,0,0,0.002129,0.000107,1e-06,0,0.002237
108,0,0,0.002147,0.000107,0,0,0.002254
109,0,0,0.002133,0.000107,0,0,0.00224
110,0,0,0.002141,0.000106,1e-06,0,0.002248
111,0,0,0.002128,0.000107,1e-06,0,0.002236
112,0,0,0.002134,0.000106,1e-06,0,0.002241
113,0,0,0.00212,0.000107,0,0,0.002227
