iteration,ants_ms,evap_ms,comm_border_ms,comm_migrate_ms,update_ms,total_ms,global_food,total_ants
1,1.84178,0.295852,0.001679,0.002111,0.003229,2.34565,0,5000
2,1.75861,0.31538,0.001142,0.000928,0.003157,2.26404,0,5000
3,1.80748,0.290687,0.001048,0.0006,0.003256,2.28639,0,5000
4,1.93208,0.338932,0.001002,0.000822,0.003489,2.45784,0,5000
5,1.90991,0.294422,0.000978,0.000544,0.002969,2.38657,0,5000
6,1.9551,0.291152,0.001027,0.000544,0.003123,2.41484,0,5000
7,1.94312,0.302605,0.000997,0.000589,0.002825,2.44657,0,5000
8,1.96148,0.276692,0.001003,0.000535,0.002992,2.42598,0,5000
9,1.95776,0.279665,0.001075,0.000713,0.003018,2.42551,0,5000
10,1.96742,0.275368,0.001003,0.00051,0.003174,2.43048,0,5000
11,2.00506,0.278007,0.001,0.000717,0.003079,2.47692,0,5000
12,1.9929,0.281626,0.001002,0.000581,0.002931,2.4623,0,5000
13,2.00314,0.277694,0.001017,0.00067,0.003115,2.46917,0,5000
14,2.01674,0.276525,0.001017,0.000675,0.00303,2.48106,0,5000
15,2.02827,0.27795,0.001019,0.000559,0.003064,2.49399,0,5000
16,2.00347,0.274379,0.001009,0.000636,0.003201,2.46574,0,5000
17,2.05979,0.27922,0.001012,0.000609,0.003275,2.53163,0,5000
18,2.04917,0.275759,0.001005,0.000603,0.003096,2.51451,0,5000
19,2.0593,0.279683,0.000993,0.000724,0.003131,2.52699,0,5000
20,2.06262,0.275101,0.000934,0.000574,0.00296,2.52532,0,5000
21,2.06433,0.281376,0.001014,0.000544,0.003147,2.53359,0,5000
22,2.08452,0.276364,0.001053,0.000509,0.003129,2.54892,0,5000
23,2.07977,0.278344,0.001038,0.000627,0.002975,2.54611,0,5000
24,2.08757,0.276265,0.001048,0.000477,0.002893,2.55127,0,5000
25,2.14894,0.279104,0.001024,0.000518,0.003311,2.61611,0,5000
26,2.06415,0.276807,0.001005,0.000512,0.003104,2.52877,0,5000
