iteration,food_quantity,first_food_arrived,t_ants_s,t_evaporation_s,t_update_s,t_render_s,t_total_s
1,0,0,0.002587481,0.000361655,5.065e-06,0.006960848,0.009915049
2,0,0,0.002398707,0.00039069,3.77e-06,0.00314282,0.005935987
3,0,0,0.002473459,0.000447064,7.183e-06,0.021966668,0.024894374
4,0,0,0.003436607,0.000393338,4.158e-06,0.02940114,0.033235243
5,0,0,0.003803161,0.000667418,3.67e-06,0.02764585,0.032120099
6,0,0,0.003786188,0.000478913,5.339e-06,0.029900721,0.034171161
7,0,0,0.005935269,0.000736523,9.283e-06,0.025982055,0.03266313
8,0,0,0.006553365,0.00071143,8.545e-06,0.025638612,0.032911952
9,0,0,0.006298639,0.001108837,1.0575e-05,0.025682022,0.033100073
10,0,0,0.006205948,0.000914864,1.9785e-05,0.02624647,0.033387067
11,0,0,0.007162697,0.001055674,2.4058e-05,0.027093244,0.035335673
12,0,0,0.005772094,0.000670797,7.785e-06,0.026669735,0.033120411
13,0,0,0.005881887,0.000951396,2.2863e-05,0.026363531,0.033219677
14,0,0,0.006332362,0.000741834,9.401e-06,0.027426447,0.034510044
15,0,0,0.005940426,0.000911018,2.0425e-05,0.026357397,0.033229266
16,0,0,0.006943909,0.000718664,9.448e-06,0.026724369,0.03439639
17,0,0,0.005896872,0.000678432,8.404e-06,0.027001633,0.033585341
18,0,0,0.006743197,0.001059509,2.1834e-05,0.025101646,0.032926186
19,0,0,0.006809666,0.001020055,2.0856e-05,0.025365926,0.033216503
20,0,0,0.006388272,0.000430184,6.938e-06,0.025867247,0.032692641
21,0,0,0.003585116,0.000442394,7.627e-06,0.029861831,0.033896968
22,0,0,0.007078729,0.00116068,2.366e-05,0.024808619,0.033071688
23,0,0,0.006631485,0.000758086,8.933e-06,0.025867833,0.033266337
24,0,0,0.006644111,0.001037448,2.2288e-05,0.025266944,0.032970791
25,0,0,0.006845163,0.000984818,2.0287e-05,0.024696678,0.032546946
26,0,0,0.006922403,0.000962183,2.0772e-05,0.025919286,0.033824644
27,0,0,0.006863686,0.001052405,2.1504e-05,0.024608319,0.032545914
28,0,0,0.00612383,0.000937603,2.0194e-05,0.025511971,0.032593598
29,0,0,0.005087799,0.0010832,2.1342e-05,0.028232149,0.03442449
30,0,0,0.006170016,0.001048855,2.3528e-05,0.025743226,0.032985625
31,0,0,0.006204816,0.00107322,2.1353e-05,0.025688534,0.032987923
32,0,0,0.006839865,0.000992459,2.1512e-05,0.026697492,0.034551328
33,0,0,0.006488202,0.00094726,1.9949e-05,0.025246186,0.032701597
34,0,0,0.006775752,0.001023294,2.2296e-05,0.024734369,0.032555711
35,0,0,0.006085914,0.000884962,1.8824e-05,0.025686062,0.032675762
36,0,0,0.004932995,0.000744138,9.093e-06,0.028553292,0.034239518
37,0,0,0.006692187,0.000825466,9.355e-06,0.025533791,0.033060799
38,0,0,0.006964159,0.000759821,9.13e-06,0.02580288,0.03353599
39,0,0,0.006446874,0.000926302,1.9936e-05,0.025486593,0.032879705
40,0,0,0.006269512,0.00090793,2.0023e-05,0.026172081,0.033369546
41,0,0,0.005950142,0.00087584,1.8098e-05,0.026497622,0.033341702
