iteration,food_quantity,first_food_arrived,t_ants_s,t_evaporation_s,t_update_s,t_render_s,t_total_s
1,0,0,0.000674058,0.000162473,1.5515e-05,0.012966737,0.013818783
2,0,0,0.000739997,0.000159522,7.432e-06,0.003164998,0.004071949
3,0,0,0.000654349,0.000131392,6.61e-06,0.004414136,0.005206487
4,0,0,0.003696475,0.000162609,5.734e-06,0.027744173,0.031608991
5,0,0,0.000532808,0.000175453,4.188e-06,0.032585691,0.03329814
6,0,0,0.00054323,0.000108814,4.654e-06,0.032465801,0.033122499
7,0,0,0.000823448,0.000170548,8.948e-06,0.033410898,0.034413842
8,0,0,0.001200503,0.000187504,1.0608e-05,0.03079101,0.032189625
9,0,0,0.000573966,0.000114862,4.732e-06,0.033203299,0.033896859
10,0,0,0.000768643,0.000174147,1.8077e-05,0.031865645,0.032826512
11,0,0,0.000487815,0.000102404,5.302e-06,0.042379187,0.042974708
12,0,0,0.001293209,0.000290334,1.5884e-05,0.02391274,0.025512167
13,0,0,0.000427215,0.000112899,4.841e-06,0.033392753,0.033937708
14,0,0,0.000911483,0.000207473,1.2043e-05,0.032154039,0.033285038
15,0,0,0.000653317,0.000151619,6.991e-06,0.032084001,0.032895928
16,0,0,0.000577311,0.000129857,2.0634e-05,0.032611199,0.033339001
17,0,0,0.000743358,0.000184123,7.678e-06,0.032425131,0.03336029
18,0,0,0.000619551,0.000133444,1.7884e-05,0.03244665,0.033217529
19,0,0,0.000851194,0.000197645,3.5016e-05,0.03246398,0.033547835
20,0,0,0.000596158,9.4297e-05,5.943e-06,0.033494668,0.034191066
21,0,0,0.000530643,0.000147559,1.502e-05,0.032598715,0.033291937
22,0,0,0.000544013,0.000168829,1.5518e-05,0.033674015,0.034402375
23,0,0,0.000784137,0.000208145,8.759e-06,0.031847944,0.032848985
24,0,0,0.000491353,0.000129172,1.524e-05,0.032584786,0.033220551
25,0,0,0.00065937,0.00017702,6.691e-06,0.032357837,0.033200918
26,0,0,0.000509486,0.00010959,4.89e-06,0.0330627,0.033686666
27,0,0,0.000958068,0.00018708,3.9729e-05,0.031539586,0.032724463
28,0,0,0.000473688,0.000142591,1.6812e-05,0.039241531,0.039874622
29,0,0,0.001037841,0.000243915,9.239e-06,0.026380651,0.027671646
30,0,0,0.000499325,0.000130791,4.592e-06,0.033538252,0.03417296
31,0,0,0.000822037,0.000227899,1.1847e-05,0.031415828,0.032477611
32,0,0,0.000488057,8.5833e-05,7.356e-06,0.033420982,0.034002228
33,0,0,0.000934028,0.000178668,3.8766e-05,0.032391533,0.033542995
34,0,0,0.001062928,0.00023152,1.8063e-05,0.031304223,0.032616734
35,0,0,0.000540998,0.000117294,6.583e-06,0.032392674,0.033057549
36,0,0,0.000616922,0.000130852,5.957e-06,0.033084367,0.033838098
37,0,0,0.000663274,0.000222311,4.069e-06,0.033474798,0.034364452
38,0,0,0.000874117,0.000217261,3.9669e-05,0.03154471,0.032675757
39,0,0,0.000649332,0.000126971,7.067e-06,0.032529076,0.033312446
40,0,0,0.000574843,0.000126652,6.659e-06,0.033431611,0.034139765
41,0,0,0.000629578,0.000143292,2.4254e-05,0.03233766,0.033134784
42,0,0,0.001137275,0.000259151,4.5259e-05,0.03160187,0.033043555
43,0,0,0.000555686,0.000124611,1.9697e-05,0.032913342,0.033613336
44,0,0,0.000718355,0.000163447,8.405e-06,0.031942867,0.032833074
45,0,0,0.00056652,0.000145415,6.568e-06,0.037178203,0.037896706
46,0,0,0.000789084,0.000182132,1.109e-05,0.030199005,0.031181311
47,0,0,0.000482699,0.000102923,4.175e-06,0.032887716,0.033477513
48,0,0,0.00077169,0.000161273,2.854e-05,0.032055357,0.03301686
49,0,0,0.000613649,0.000138008,2.7051e-05,0.032460344,0.033239052
50,0,0,0.000556234,0.000123339,6.656e-06,0.033057613,0.033743842
51,0,0,0.000577427,0.000111031,2.0963e-05,0.032322269,0.03303169
52,0,0,0.000869606,0.000197893,1.103e-05,0.03226742,0.033345949
53,0,0,0.000512007,8.365e-05,1.7329e-05,0.032591038,0.033204024
54,0,0,0.0010925,0.000254725,1.1553e-05,0.032812737,0.034171515
55,0,0,0.001141505,0.000265043,1.6143e-05,0.031084537,0.032507228
56,0,0,0.001055372,0.000211378,4.5991e-05,0.032809697,0.034122438
57,0,0,0.000728512,0.000161419,9.582e-06,0.032376418,0.033275931
58,0,0,0.000599548,0.00014591,1.9909e-05,0.031572764,0.032338131
59,0,0,0.000849784,0.000197885,3.9661e-05,0.033254046,0.034341376
60,0,0,0.000587274,0.000149682,7.361e-06,0.032526075,0.033270392
61,0,0,0.000582288,0.000147341,5.899e-06,0.032509046,0.033244574
62,0,0,0.00055788,0.000138583,6.836e-06,0.035075524,0.035778823
63,0,0,0.000660139,0.000140057,7.256e-06,0.030319764,0.031127216
64,0,0,0.000881782,0.000185549,1.071e-05,0.031859496,0.032937537
65,0,0,0.000508382,9.0323e-05,4.843e-06,0.033062128,0.033665676
66,0,0,0.0009285,0.000186519,4.0806e-05,0.032131046,0.033286871
67,0,0,0.000500866,0.00011682,1.7335e-05,0.032998699,0.03363372
68,0,0,0.001077654,0.00021991,4.372e-05,0.03155681,0.032898094
69,0,0,0.000528053,0.00010411,2.0331e-05,0.032699939,0.033352433
70,0,0,0.000760153,0.000178135,9.712e-06,0.032019424,0.032967424
71,0,0,0.000435676,8.0137e-05,4.158e-06,0.035155083,0.035675054
72,0,0,0.00079285,0.000142352,9.762e-06,0.031239832,0.032184796
73,0,0,0.000482788,6.2398e-05,5.881e-06,0.032994996,0.033546063
74,0,0,0.000774603,0.000136834,9.384e-06,0.032510488,0.033431309
75,0,0,0.000531927,0.000108774,5.898e-06,0.032599675,0.033246274
76,0,0,0.000970231,0.000211886,1.1281e-05,0.032459148,0.033652546
77,0,0,0.000557266,0.00012223,2.903e-05,0.032075924,0.03278445
78,0,0,0.000612436,0.000164595,2.597e-05,0.032603254,0.033406255
79,0,0,0.001101075,0.000260403,1.3231e-05,0.031856038,0.033230747
80,0,0,0.000507912,0.00011249,1.8986e-05,0.032464418,0.033103806
81,0,0,0.000720151,0.000145562,2.9724e-05,0.033856392,0.034751829
82,0,0,0.000977225,0.000308505,3.7015e-05,0.030989168,0.032311913
83,0,0,0.000461489,9.5365e-05,1.7325e-05,0.034173495,0.034747674
84,0,0,0.00107184,0.000237605,5.8461e-05,0.031694296,0.033062202
85,0,0,0.001075444,0.000227725,5.304e-05,0.030360707,0.031716916
86,0,0,0.000973105,0.000195638,4.2028e-05,0.031825521,0.033036292
87,0,0,0.000582338,0.000118587,6.986e-06,0.03281029,0.033518201
88,0,0,0.000795474,0.000156491,9.471e-06,0.032434441,0.033395877
89,0,0,0.000640992,0.00012525,2.3704e-05,0.032891166,0.033681112
90,0,0,0.000621821,0.000116648,5.657e-06,0.031902191,0.032646317
91,0,0,0.000658326,0.000117616,5.759e-06,0.032821987,0.033603688
92,0,0,0.000539348,0.000101685,6.218e-06,0.032720265,0.033367516
93,0,0,0.000671856,0.00013793,2.7887e-05,0.03273287,0.033570543
94,0,0,0.00058579,0.000110371,7.834e-06,0.032759335,0.03346333
95,0,0,0.000710099,0.000112614,2.8744e-05,0.032749627,0.033601084
96,0,0,0.001025736,0.000217034,4.3522e-05,0.031780777,0.033067069
97,0,0,0.00048855,8.7452e-05,4.505e-06,0.03270182,0.033282327
98,0,0,0.000787598,0.000176299,1.5121e-05,0.032825337,0.033804355
99,0,0,0.001043632,0.000221541,1.4901e-05,0.032056505,0.033336579
100,0,0,0.001090223,0.000241116,5.6382e-05,0.031370178,0.032757899
