iteration,food_quantity,first_food_arrived,t_ants_s,t_evaporation_s,t_update_s,t_render_s,t_total_s
1,0,0,0.000885585,0.00019672,5.206e-06,0,0.001087511
2,0,0,0.00074552,0.000153429,4.8e-06,0,0.000903749
3,0,0,0.000766986,0.000143437,5.109e-06,0,0.000915532
4,0,0,0.000677799,6.6778e-05,5.313e-06,0,0.00074989
5,0,0,0.000638593,6.4891e-05,5.016e-06,0,0.0007085
6,0,0,0.000654334,6.4431e-05,4.626e-06,0,0.000723391
7,0,0,0.000659477,6.6151e-05,5.289e-06,0,0.000730917
8,0,0,0.000664295,6.6696e-05,5.104e-06,0,0.000736095
9,0,0,0.000658708,6.8367e-05,4.834e-06,0,0.000731909
10,0,0,0.00066598,6.6216e-05,4.863e-06,0,0.000737059
11,0,0,0.000670608,6.6546e-05,5.365e-06,0,0.000742519
12,0,0,0.00067048,6.5079e-05,4.613e-06,0,0.000740172
13,0,0,0.000673406,6.6253e-05,5.352e-06,0,0.000745011
14,0,0,0.000669287,6.7433e-05,4.517e-06,0,0.000741237
15,0,0,0.000676964,6.873e-05,5.147e-06,0,0.000750841
16,0,0,0.000673094,6.4868e-05,4.545e-06,0,0.000742507
17,0,0,0.000667292,6.7465e-05,5.069e-06,0,0.000739826
18,0,0,0.000675417,6.3829e-05,5.182e-06,0,0.000744428
19,0,0,0.000670011,7.9333e-05,4.965e-06,0,0.000754309
20,0,0,0.000677463,6.9e-05,4.607e-06,0,0.00075107
21,0,0,0.000679097,6.9841e-05,5.259e-06,0,0.000754197
22,0,0,0.000677547,6.7828e-05,4.839e-06,0,0.000750214
23,0,0,0.000681306,6.6281e-05,5.242e-06,0,0.000752829
24,0,0,0.00067242,6.6148e-05,4.561e-06,0,0.000743129
25,0,0,0.000671322,6.7703e-05,5.251e-06,0,0.000744276
26,0,0,0.000678281,7.0708e-05,4.594e-06,0,0.000753583
27,0,0,0.000669282,6.7932e-05,5.109e-06,0,0.000742323
28,0,0,0.000675276,7.5693e-05,5.273e-06,0,0.000756242
29,0,0,0.000670338,6.8268e-05,4.997e-06,0,0.000743603
30,0,0,0.000668827,6.5225e-05,4.615e-06,0,0.000738667
31,0,0,0.000675384,6.9236e-05,4.869e-06,0,0.000749489
