iteration,food_quantity,first_food_arrived,t_ants_s,t_evaporation_s,t_update_s,t_render_s,t_total_s
1,0,0,0.000822217,0.000206928,3.511e-06,0,0.001032656
2,0,0,0.000612284,0.000161367,3.854e-06,0,0.000777505
3,0,0,0.000611118,0.000118231,3.797e-06,0,0.000733146
4,0,0,0.000573006,0.000151858,3.807e-06,0,0.000728671
5,0,0,0.000588551,0.000114145,3.575e-06,0,0.000706271
6,0,0,0.000595534,0.000114045,3.792e-06,0,0.000713371
7,0,0,0.000590678,0.000129884,3.86e-06,0,0.000724422
8,0,0,0.000567491,0.000112602,4.07e-06,0,0.000684163
9,0,0,0.00056798,0.000109946,3.716e-06,0,0.000681642
10,0,0,0.000568278,0.000113345,3.983e-06,0,0.000685606
11,0,0,0.000566749,0.000107862,3.737e-06,0,0.000678348
12,0,0,0.000575836,0.000109739,3.885e-06,0,0.00068946
13,0,0,0.000573901,0.000109337,3.788e-06,0,0.000687026
14,0,0,0.00056824,0.000108202,3.447e-06,0,0.000679889
15,0,0,0.000578007,0.000109603,3.955e-06,0,0.000691565
16,0,0,0.000573848,0.000118158,3.959e-06,0,0.000695965
17,0,0,0.000576927,0.000118753,3.95e-06,0,0.00069963
18,0,0,0.000578948,0.000109206,3.702e-06,0,0.000691856
19,0,0,0.000582402,0.00010955,4.116e-06,0,0.000696068
20,0,0,0.000695544,8.1497e-05,3.933e-06,0,0.000780974
21,0,0,0.000543306,8.2976e-05,4.295e-06,0,0.000630577
22,0,0,0.000561344,8.7727e-05,7.279e-06,0,0.00065635
23,0,0,0.000570668,9.7222e-05,3.632e-06,0,0.000671522
24,0,0,0.000534226,7.9802e-05,3.853e-06,0,0.000617881
25,0,0,0.00054338,7.9761e-05,3.834e-06,0,0.000626975
26,0,0,0.000529117,7.8129e-05,3.902e-06,0,0.000611148
27,0,0,0.000558014,7.496e-05,3.934e-06,0,0.000636908
28,0,0,0.000537543,7.7137e-05,3.686e-06,0,0.000618366
29,0,0,0.000532904,7.9301e-05,3.875e-06,0,0.00061608
30,0,0,0.000541648,7.0112e-05,3.396e-06,0,0.000615156
31,0,0,0.000530094,6.8984e-05,3.605e-06,0,0.000602683
32,0,0,0.000534772,6.8808e-05,3.832e-06,0,0.000607412
33,0,0,0.000534284,9.702e-05,4.152e-06,0,0.000635456
34,0,0,0.000542393,6.9837e-05,3.684e-06,0,0.000615914
35,0,0,0.000535566,6.9152e-05,4.045e-06,0,0.000608763
36,0,0,0.000543171,6.8051e-05,4.184e-06,0,0.000615406
37,0,0,0.000533638,6.8779e-05,3.869e-06,0,0.000606286
38,0,0,0.000542231,6.913e-05,3.579e-06,0,0.00061494
39,0,0,0.000532308,7.1614e-05,3.839e-06,0,0.000607761
40,0,0,0.000535646,6.9278e-05,3.775e-06,0,0.000608699
41,0,0,0.000539504,7.2318e-05,4.008e-06,0,0.00061583
42,0,0,0.000563347,7.6211e-05,4.153e-06,0,0.000643711
43,0,0,0.00053298,6.9064e-05,4.011e-06,0,0.000606055
44,0,0,0.000534463,7.5103e-05,3.768e-06,0,0.000613334
45,0,0,0.000536046,7.0487e-05,3.991e-06,0,0.000610524
46,0,0,0.000534592,7.4563e-05,4.1e-06,0,0.000613255
47,0,0,0.000527343,7.5449e-05,3.741e-06,0,0.000606533
48,0,0,0.000529745,7.6609e-05,3.775e-06,0,0.000610129
49,0,0,0.000541754,7.9044e-05,4.238e-06,0,0.000625036
50,0,0,0.00054336,8.9932e-05,3.753e-06,0,0.000637045
51,0,0,0.00057008,5.415e-05,3.773e-06,0,0.000628003
52,0,0,0.000545359,6.4142e-05,7.191e-06,0,0.000616692
53,0,0,0.000565227,5.3392e-05,3.895e-06,0,0.000622514
