iteration,food_quantity,first_food_arrived,t_ants_s,t_evaporation_s,t_update_s,t_render_s,t_total_s
1,0,0,0.002353832,0.000474362,8.763e-06,0,0.002836957
2,0,0,0.002177509,0.000464913,8.547e-06,0,0.002650969
3,0,0,0.002220247,0.000465324,8.614e-06,0,0.002694185
4,0,0,0.002217567,0.000460176,8.595e-06,0,0.002686338
5,0,0,0.002235386,0.000441125,8.689e-06,0,0.0026852
6,0,0,0.002257241,0.000471779,9.642e-06,0,0.002738662
7,0,0,0.0022754,0.000382112,8.489e-06,0,0.002666001
8,0,0,0.002324701,0.000402577,8.344e-06,0,0.002735622
9,0,0,0.002298101,0.000410553,8.58e-06,0,0.002717234
10,0,0,0.002327031,0.000372952,8.195e-06,0,0.002708178
11,0,0,0.002334259,0.000364564,8.426e-06,0,0.002707249
12,0,0,0.002320348,0.000404127,8.149e-06,0,0.002732624
13,0,0,0.002318825,0.000449047,8.566e-06,0,0.002776438
14,0,0,0.002320359,0.000359898,8.231e-06,0,0.002688488
15,0,0,0.002343691,0.000364212,8.422e-06,0,0.002716325
16,0,0,0.00235736,0.000417027,8.202e-06,0,0.002782589
17,0,0,0.002371515,0.000391797,8.546e-06,0,0.002771858
18,0,0,0.002357364,0.000366934,8.628e-06,0,0.002732926
19,0,0,0.002405053,0.000371925,8.337e-06,0,0.002785315
20,0,0,0.002400169,0.000356649,8.176e-06,0,0.002764994
21,0,0,0.002426337,0.000397386,8.473e-06,0,0.002832196
22,0,0,0.002409788,0.000377947,8.232e-06,0,0.002795967
23,0,0,0.002407308,0.000368805,8.409e-06,0,0.002784522
24,0,0,0.00244094,0.000380059,8.23e-06,0,0.002829229
25,0,0,0.002445655,0.0004243,8.546e-06,0,0.002878501
26,0,0,0.002455397,0.000490696,9.068e-06,0,0.002955161
27,0,0,0.002559796,0.000358031,8.178e-06,0,0.002926005
28,0,0,0.002552606,0.000480806,8.767e-06,0,0.003042179
29,0,0,0.002596339,0.000507255,9.802e-06,0,0.003113396
30,0,0,0.002577916,0.000441471,8.388e-06,0,0.003027775
31,0,0,0.00257673,0.000467857,8.754e-06,0,0.003053341
32,0,0,0.002574974,0.000505012,8.931e-06,0,0.003088917
33,0,0,0.002649026,0.000522085,9.381e-06,0,0.003180492
34,0,0,0.002628974,0.000435441,8.335e-06,0,0.00307275
35,0,0,0.002608479,0.00046154,1.0249e-05,0,0.003080268
36,0,0,0.002628828,0.000487705,9.269e-06,0,0.003125802
37,0,0,0.002702616,0.000425995,4.004e-06,0,0.003132615
38,0,0,0.002620067,0.000371601,3.755e-06,0,0.002995423
39,0,0,0.002554735,0.000385617,3.998e-06,0,0.00294435
40,0,0,0.002576209,0.000351095,4.135e-06,0,0.002931439
41,0,0,0.002572098,0.000406048,3.997e-06,0,0.002982143
42,0,0,0.00255274,0.000409414,4.065e-06,0,0.002966219
43,0,0,0.002598516,0.000369339,4.012e-06,0,0.002971867
44,0,0,0.002562568,0.000438325,3.922e-06,0,0.003004815
45,0,0,0.002519205,0.000389231,4.162e-06,0,0.002912598
